time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_m, rel_err_v_m, rel_err_w_m, rel_err_p_m
0, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,         NaN
1, 2.34529E-03, 2.04669E-03, 2.90872E-03, 6.86491E-02, 1.08508E-04, 1.24400E-04, 9.61467E-05, 7.12015E+00
2, 3.97987E-03, 3.37096E-03, 2.56888E-03, 4.83659E-03, 1.30773E-04, 1.42240E-04, 1.07362E-04, 7.16441E+00
3, 3.37808E-03, 2.21402E-03, 2.20097E-03, 6.52820E-03, 1.04985E-04, 1.26476E-04, 9.01159E-05, 3.82670E-01
4, 3.44750E-03, 2.35527E-03, 2.16863E-03, 4.01699E-03, 1.04665E-04, 1.26893E-04, 8.85828E-05, 3.76263E-01
5, 3.67295E-03, 2.28344E-03, 2.17113E-03, 4.26287E-03, 1.02965E-04, 1.27696E-04, 8.78292E-05, 1.24025E-01
6, 3.81898E-03, 2.34961E-03, 2.13535E-03, 4.03462E-03, 1.02177E-04, 1.28472E-04, 8.68918E-05, 7.77218E-02
7, 3.94319E-03, 2.36463E-03, 2.09858E-03, 4.00363E-03, 1.01343E-04, 1.29187E-04, 8.61486E-05, 5.48934E-02
8, 4.06086E-03, 2.37761E-03, 2.06205E-03, 3.96939E-03, 1.00708E-04, 1.29828E-04, 8.54030E-05, 5.01282E-02
9, 4.16128E-03, 2.41773E-03, 2.02166E-03, 3.92670E-03, 1.00213E-04, 1.30441E-04, 8.47567E-05, 3.86280E-02
10, 4.24384E-03, 2.46258E-03, 1.97697E-03, 3.87354E-03, 9.98173E-05, 1.30952E-04, 8.41450E-05, 4.79397E-02
11, 4.31943E-03, 2.49465E-03, 1.92921E-03, 3.80970E-03, 9.95088E-05, 1.31355E-04, 8.35977E-05, 4.69140E-02
12, 4.46689E-03, 2.51167E-03, 1.87842E-03, 3.73564E-03, 9.92544E-05, 1.31638E-04, 8.30660E-05, 5.15215E-02
13, 4.62684E-03, 2.51477E-03, 1.82805E-03, 3.65117E-03, 9.90518E-05, 1.31824E-04, 8.25478E-05, 5.34693E-02
14, 4.77113E-03, 2.50380E-03, 1.84142E-03, 3.68340E-03, 9.89104E-05, 1.31878E-04, 8.20414E-05, 5.70082E-02
15, 4.89924E-03, 2.49241E-03, 1.93510E-03, 3.86851E-03, 9.88155E-05, 1.31805E-04, 8.15497E-05, 5.94904E-02
16, 5.01083E-03, 2.55824E-03, 2.01565E-03, 4.07858E-03, 9.87672E-05, 1.31596E-04, 8.10717E-05, 6.23838E-02
17, 5.10566E-03, 2.62841E-03, 2.12354E-03, 4.27593E-03, 9.87882E-05, 1.31302E-04, 8.06118E-05, 6.45620E-02
18, 5.18362E-03, 2.69407E-03, 2.23218E-03, 4.49895E-03, 9.88791E-05, 1.30949E-04, 8.01740E-05, 6.65304E-02
19, 5.24472E-03, 2.75521E-03, 2.32905E-03, 4.69680E-03, 9.89921E-05, 1.30531E-04, 7.97726E-05, 6.77251E-02
20, 5.28909E-03, 2.81180E-03, 2.41262E-03, 4.92550E-03, 9.91085E-05, 1.30075E-04, 7.93955E-05, 6.91940E-02
21, 5.31695E-03, 2.86384E-03, 2.48156E-03, 5.10562E-03, 9.92152E-05, 1.29596E-04, 7.90362E-05, 6.83450E-02
22, 5.32860E-03, 2.91134E-03, 2.53477E-03, 5.32435E-03, 9.93195E-05, 1.29107E-04, 7.86826E-05, 6.66705E-02
23, 5.32446E-03, 2.95432E-03, 2.57138E-03, 5.47160E-03, 9.94154E-05, 1.28648E-04, 7.83463E-05, 6.30603E-02
24, 5.30500E-03, 2.99278E-03, 2.63250E-03, 5.64282E-03, 9.95036E-05, 1.28277E-04, 7.80372E-05, 5.76330E-02
